neg,neg_pol_score
 자산/NNG;매입/NNG;종료/NNG,0.3033008727221596
 따질/VV,0.6290036889737513
 경기민감주/NNG,0.7025864864214592
 찬성/NNG,0.6682923456028528
 소비세/NNG,0.7202690051836075
 산다는/VV,0.5579926818333584
 금상/NNG,0.5982510397799561
 납입일/NNG,0.6614676283044695
 유로존/NNG;경제/NNG;회복/NNG,0.5081015714576699
 빨리/MAG;금리/NNG;인상/NNG,0.4183514363283948
 유로화자산/NNG,0.6375944350459493
젂/VV,0.3625828905596845
세제개편/NNG,0.5419195702126266
앆/NNG,0.2292856407967233
있/VA,0.7548275042972952
세제/NNG,0.550972842107376
요약/NNG,0.6554514678200363
상태/NNG,0.6227649887568513
불확실/NNG,0.5778981356207299
내부/NNG,0.7586873982976773
망/NNG,0.3576579637004412
가중치/NNG,0.3794590362419212
나온다면/VV,0.6212248731705721
얘기/NNG,0.6138517306768435
제도개선/NNG,0.6361664519887356
특정/NNG,0.668178578499186
물가채/NNG,0.6547184787855417
실시/NNG,0.741024909034193
보험기금/NNG,0.7534616026737719
연령/NNG,0.5071274970335957
최저임금/NNG,0.10918036656457694
시급/NNG,0.733473297458874
캘린더/NNG,0.7341196718122196
합성/NNG,0.5784929870212658
 시작점/NNG,0.7313024552910342
 운영계획/NNG,0.7576953258579286
 갉아먹/VV,0.6307979587230078
 잃어버린/VV,0.6231355326434858
 스멀스멀/MAG,0.5167870684056641
 기업단기경제관측조사/NNG,0.5408236762384857
 경제개발협력기구/NNG,0.7098723467110772
 피보험자/NNG,0.6249688026688018
 소득/NNG;높/VV,0.4378096426692504
 창조경제/NNG,0.5817280112777885
 담합/NNG,0.49787061241928493
 암울/NNG,0.6635346671466241
 소득/NNG;높/VA,0.6353939365643412
 증액/NNG,0.7303274361328941
 바꾼다는/VV,0.6361664519887356
 비뉴/NNG,0.3629296938983356
 포식/NNG,0.6998773440693853
 금융투자/NNG,0.7422092912020082
 불문/NNG,0.7243900368092285
 무지개/NNG,0.7501747767178996
 위례/NNG,0.754534145880425
 연산/NNG,0.7558450320218898
 적립금/NNG,0.7198692764717591
 높/VA;고금리/NNG,0.6832898928767901
 돌아갔/VV,0.7561863483605766
 신용정보원/NNG,0.5268217687630558
 신용불량자/NNG,0.7449787609484251
 신조어/NNG,0.6206312516959703
 고마운/VA,0.7277205657140986
 배당주/NNG,0.7105360003240291
 주주명부/NNG,0.7482438249116758
 경제/NNG;심리/NNG;개선/NNG,0.6787295598876234
 경상/NNG;수지/NNG;개선/NNG,0.6684311502544306
 정책/NNG;모멘텀/NNG,0.43594513527433215
 구용/NNG,0.6706793946109726
 금융시장/NNG;불안/NNG;우려/NNG,0.6011604673290379
 하락/NNG;가능성/NNG;낮/VA,0.7188391553011119
 외환시장/NNG;불안/NNG,0.5779364762112407
 외화/NNG,0.7461885629033348
 실적/NNG;늘/VV,0.5287589696042511
 불이익/NNG,0.7062950372473362
 영업권/NNG,0.7245956250132328
 하락/NNG;효과/NNG,0.7255384950522872
 수출/NNG;둔화/NNG,0.71837381194115
 불안/NNG;해소/NNG,0.6569327140749969
 최상/NNG,0.7340243254037759
 금리/NNG;방향/NNG;인상/NNG,0.6411268141874781
 서면/NNG,0.6997987701723833
 대출포트폴리오/NNG,0.5622188985951732
 내수/NNG;진작/NNG,0.7356492716412951
 내수/NNG;살/VV,0.7430611837001665
 헤어/NNG,0.6082906137169287
 소형주/NNG,0.7350005713734162
 경기/NNG;나쁘/VA,0.7468517433769566
 비극/NNG,0.5578635915657277
 앗/VV,0.6082906137169287
 서쪽/NNG,0.5704792313569019
 성당/NNG,0.5088058009399397
 중위험중수익/NNG,0.6286669970255534
 메스/NNG,0.7062950372473362
 꺼낸/VV,0.6234946023381663
 대출/NNG;중단/NNG,0.6787295598876235
 비효율/NNG,0.7422364192923133
 항아리/NNG,0.5419195702126266
 칸막이/NNG,0.4541140220830862
 응급/NNG,0.6005308150982664
 처방/NNG,0.7019245489155163
 연방정부/NNG,0.7462133654781257
 정치/NNG;위험/NNG,0.7286615329883368
 환노출/NNG,0.7245956250132328
 가결/NNG,0.5766891790291981
 주혼/NNG,0.7320107385407107
 가계/NNG;부담/NNG,0.7154005561367918
 임시방편/NNG,0.7429398180515425
 닉네임/NNG,0.4183514363283948
 구해/VV,0.722217952740835
 현장조사/NNG,0.6243371108604585
 임차인/NNG,0.6707236419733088
 갱신청구권/NNG,0.6594634340008074
 권리금/NNG,0.4970224336184959
 스티프닝/NNG,0.7456539057773143
 센/NNG,0.7255384950522872
 공공사업/NNG,0.7141183121493491
 페이지/NNG,0.7249250615329025
 내가격/NNG,0.2430879938493543
 들이대/VV,0.7530325853911107
 환호/NNG,0.7154423472140554
 기업가/NNG,0.6709070908916079
 경제/NNG;활성화/NNG,0.6726998359941949
 들여올/VV,0.5923306930231035
 베이비부머/NNG,0.6609388537204006
 야심/NNG,0.7160931361804888
 허브/NNG,0.7346124522598196
 시공권/NNG,0.3812363619386047
 보험약관/NNG,0.5372538829959875
 좀비/NNG,0.5634144730738444
 투자금액/NNG;늘/VV,0.5033640276678547
 하방/NNG;압력/NNG;크/VV,0.5704792313569019
 부동산/NNG;불황/NNG,0.6752444273593173
 밝혀냈/VV,0.29710754803809963
 평범/NNG,0.735789833731938
 착각/NNG,0.7006005446315856
 실업률/NNG;개선/NNG,0.7599809829495061
 위기극복/NNG,0.6304818880935588
 부평/NNG,0.6644405165215682
 배출/NNG,0.7028137290262666
 노사관계/NNG,0.7175293967430169
 절실히/MAG,0.5962927712373048
 소감/NNG,0.6319722190301129
 세간/NNG,0.6259222257087237
 에둘러/VV,0.6706793946109726
 거용/NNG,0.4316986406778551
 소수의견/NNG,0.6726652444007035
 유휴노동력/NNG,0.5138919027563327
 협정/NNG,0.7181326794728061
 매코/NNG,0.334795609100015
 금/NNG;가격/NNG;급등/NNG,0.7292639815480628
 내몰리/VV,0.598498199887281
금융시스템/NNG;안정/NNG,0.6787295598876234
 기득권/NNG,0.6875332358951457
 黑/NNG,0.6931448687326129
 田/NNG,0.7523771570147639
